complete_address,address,city,province,latitude,longitude,frequency
2075 BAYVIEW AV,2075 BAYVIEW AV,Toronto,ON,43.72287299,-79.37286638,32416
AT 1265 MILITARY TRL,1265 MILITARY TRL,Toronto,ON,43.7851346,-79.18688086,14141
NR 15 MARINE PARADE DR,15 MARINE PARADE DR,Toronto,ON,43.62872448,-79.47547694,13777
NR 20 EDWARD ST,20 EDWARD ST,Toronto,ON,43.65709894,-79.38213273,13653
AT 103 THE QUEENSWAY,103 THE QUEENSWAY,Toronto,ON,43.63644788,-79.4704628,11874
AT 1000 FINCH AV W,1000 FINCH AV W,Toronto,ON,43.76905308,-79.46856633,9368
NR 273 BLOOR ST W   ,273 BLOOR ST W   ,Toronto,ON,43.66790766,-79.39619939,9287
AT 1 BRIMLEY RD S,1 BRIMLEY RD S,Toronto,ON,43.70787874,-79.23651648,8928
AT 250 FRONT ST E    ,250 FRONT ST E    ,Toronto,ON,43.65202035,-79.3635402,8130
4001 LESLIE ST,4001 LESLIE ST,Toronto,ON,43.76976357,-79.36322326,8027
AT 155 LEGION RD N  ,155 LEGION RD N  ,Toronto,ON,43.62415617,-79.48844349,7748
4700 KEELE ST ,4700 KEELE ST ,Toronto,ON,43.77369489,-79.50191105,7697
3401 DUFFERIN ST      ,3401 DUFFERIN ST      ,Toronto,ON,43.72522588,-79.45279164,7566
OPP 150 GERRARD ST W,150 GERRARD ST W,Toronto,ON,43.6581978,-79.38792195,7506
NR 42 CHARLES ST E,42 CHARLES ST E,Toronto,ON,43.66940721,-79.38418884,7271
18 HENDON AV          ,18 HENDON AV          ,Toronto,ON,43.78162275,-79.41725156,6954
AT 5 VALHALLA INN RD,5 VALHALLA INN RD,Toronto,ON,43.64051579,-79.55972066,6932
NR 40 ORCHARD VIEW BLVD,40 ORCHARD VIEW BLVD,Toronto,ON,43.70835125,-79.39976632,6918
700 LAWRENCE AV W,700 LAWRENCE AV W,Toronto,ON,43.71661358,-79.44744929,6653
106 HUMBER COLLEGE BLVD,106 HUMBER COLLEGE BLVD,Toronto,ON,43.73157564,-79.60015169,6463
